No.,도서관 구분,도서관명,이용시간,휴관일,전화번호,홈페이지,자치구,주소,책이음,수정일
605,작은 도서관,장위1동새마을문고,평일 : 13:00~17:00,"토,일,법정공휴일",02-2241-5678,cafe.daum.net/jangwi1books,성북구,서울특별시 성북구 장위로 61 장위1동주민센터 2층,미참여,2021-08-28
2509,공공 도서관,장위행복누림도서관,"평일 : 09:00~18:00, 주말 : 09:00~18:00",매주 월요일 및 법정 공휴일,02-6954-7955,http://ch.sblib.seoul.kr/,성북구,서울특별시 성북구 장위로21다길53,미참여,2021-08-28
642,작은 도서관,장지동새마을문고,"평일 : 14:00~17:00, 주말 : 휴관일","토,일,법정공휴일",02-401-4484,http://jangji.songpa.go.kr,송파구,서울특별시 송파구 새말로19길 6 장지동주민센터 2층,미참여,
1737,전문 도서관,재외동포재단자료실,"평일 : 09:00~12:00, 13:00~18:00, 주말 :","법정공휴일, 토요일, 근로자의 날, 정기휴관일",02-3415-0189,http://research.korean.net/,서초구,서울특별시 서초구 남부순환로 2558 외교센터 1층,미참여,
417,작은 도서관,전농2동뜨락작은도서관,"평일 : 09:00~19:00, 주말 : 10:00~18:00","토,일,공휴일",02-2171-6156,http://www.l4d.or.kr,동대문구,서울특별시 동대문구 사가정로 137 전농2동주민센터 3층,미참여,2021-08-28
52,공공 도서관,정다운도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 화요일 및 법정 공휴일,02-512-9326,http://jdwlib.gangnam.go.kr/,강남구,서울특별시 강남구 학동로67길 11 3층정다운도서관,참여,2021-08-28
822,작은 도서관,정동어린이도서관하늘씨앗,"평일 : 10:00~17:00, 주말 : 10:00~17:00(토), 13:00~17:00(일)","월,금요일",02-776-8762,chungdong.winbook.co.kr,중구,서울특별시 중구 정동길 46 정동제일교회 내,미참여,
2510,작은 도서관,정든마을 작은도서관,평일 : 10:00~18:00,"토,일,법정공휴일",02-941-3131,없음,성북구,서울특별시 성북구 솔샘로6길 18-8 2-3층,미참여,
596,작은 도서관,정릉1동새마을문고,"평일 : 10:00~17:00, 주말 : 휴관일","토요일,일요일,법정공휴일",02-2241-5318,http://jeongneung1.egentouch.com/main.do?action=main,성북구,서울특별시 성북구 정릉로38마길 33 정릉1동주민센터 2층,미참여,
599,작은 도서관,정릉4동새마을문고,"평일 : 09:00~15:00, 주말 : 휴관일","토,일,법정공휴일",02-2241-5429,http://jeongneung4.egentouch.com/main.do?action=main,성북구,서울특별시 성북구 보국문로 106-1 정릉4동주민센터 2층,미참여,2021-08-28
1384,공공 도서관,정릉도서관,"평일 : 09:00~18:00, 주말 : 09:00~18:00","매주 월요일, 법정공휴일",02-2038-9928,http://jn.sblib.seoul.kr/,성북구,서울특별시 성북구 정릉로 242,미참여,2021-08-28
1329,작은 도서관,정릉푸르지오북카페,평일 : 13:00~17:00,"토요일,일요일",070-8261-0579,없음,성북구,서울특별시 성북구 보국문로 19 정릉푸르지오아파트 관리동,미참여,2021-08-28
2622,전문 도서관,정림건축종합건축사사무소 도서자료실,,,02-708-8600,,중구,서울특별시 중구 세종대로12길 12,미참여,
2163,작은 도서관,정인꿈땅도서관,"월, 일 : 10:00~11:00, 화~금 : 10:00~18:00, 토요일 : 11:00~16:00",법정공휴일,02-910-7708,없음,성북구,서울특별시 성북구 서경로6길 70(길음동) 1층,미참여,2021-08-28
746,작은 도서관,정임도서관,"평일 : 10:00~14:00, 주말 : 10:00~14:00","월요일, 법정공휴일",02-387-0691,,은평구,서울특별시 은평구 통일로 951 서광교회 2층,미참여,
1433,작은 도서관,제기동미래뜰작은도서관,"평일 : 09:00~18:00, 주말 : 10:00~17:00","토,일요일",02-2171-6072,http://www.l4d.or.kr,동대문구,서울특별시 동대문구 약령시로 71 제기동주민센터 2층,미참여,
1813,전문 도서관,제일병원의학도서실,"평일 : 08:00~17:00, 주말 :","토·일요일, 법정공휴일",02-2000-7408,http://www.cheilmc.co.kr/library/introduction/libr_aa1.jsp,중구,서울특별시 중구 서애로1길 17 제일병원 본관 지하 2층,미참여,
1069,공공 도서관,조원도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 월요일 및 법정 공휴일,02-851-5571-2,http://lib.gwanak.go.kr,관악구,서울특별시 관악구 조원로12길 25,참여,2021-08-28
2606,작은 도서관,종로 수어영상 도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토,일,법정공휴일",02-730-5563070-7947-0028(영상전화),없음,종로구,서울특별시 종로구 대학로3길 14 4층,미참여,
1445,작은 도서관,종암2차SK뷰(아)작은도서관,월~일 : 09:00~18:00,법정공휴일,02-909-2105,없음,성북구,서울특별시 성북구 종암로 24길 35 종암2차SK뷰아파트,미참여,2021-08-28
2511,공공 도서관,종암동새날도서관,"평일 : 09:00~18:00, 주말 : 09:00~18:00","매주 월요일, 법정공휴일",02-6925-6920,http://sn.sblib.seoul.kr,성북구,서울특별시 성북구 종암로 98-8,미참여,
602,작은 도서관,종암동새마을문고,평일 : 10:00~16:00,"토,일,법정공휴일",02-2241-5558,http://jongam.egentouch.com/main.do?action=main,성북구,서울특별시 성북구 종암로 98-8 종암동주민센터 종암동 주민센터 2층,미참여,2021-08-28
1341,작은 도서관,종이비행기작은도서관,평일 : 10:00~16:00 주말 : 10:00~14:00,"일요일, 공휴일",02-6015-7991,,양천구,서울특별시 강서구 남부순환로19길 50 202호,미참여,
2148,작은 도서관,종이비행기작은도서관,"평일 : , 주말 :",,02-6015-7991,,강서구,서울특별시 강서구 남부순환로19길 50 202호,미참여,
2076,작은 도서관,종이책갈피작은도서관,"평일 : 13:00~17:00, 주말 : 휴관일","토,일요일, 법정공휴일",02-353-4311~2(관리사무소),,은평구,서울특별시 은평구 진관3로 67 912동 1층,미참여,
2003,작은 도서관,좋은땅꿈나책작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",070-4422-6911,,강동구,"서울특별시 강동구 풍성로37가길 58, 지하1층",미참여,2021-08-28
217,작은 도서관,좋은친구어린이도서관,"평일 : 13:00~17:00, 주말 : (토)13:00~17:00, (일)09:00~17:00","월요일, 공휴일",02-2662-8326,http://www.joyhmc.org,강서구,서울특별시 강서구 방화대로6나길 28 한사랑교회 2층,미참여,
611,작은 도서관,주님의교회문고,"평일 : 10:00~16:00, 주말 : 10:00~16:00",월요일,02-416-5181,http://www.pcltv.org,송파구,"서울특별시 송파구 올림픽로4길 16, 주님의 교회 5층",미참여,
454,작은 도서관,주님의숲작은도서관,"평일 : 화~금 : 09:00~18:00, 주말 : 토: 09:00~18:00","월요일, 일요일",02-534-2940,http://scmc.onmam.com,동작구,"서울특별시 동작구 사당로17길 31, (사당동) 사당중앙교회 1층",참여,
161,작은 도서관,주영광어린이도서관,"평일 : 10:00~18:00, 주말 : 10:00~18:00","일요일, 공휴일",02-937-3545,cafe.daum.net/myfyoungkwang,강북구,서울특별시 강북구 한천로 109길 67 한양아파트 2층,미참여,
2004,작은 도서관,주영광작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",02-489-5259,,강동구,"서울특별시 강동구 양재대로115길 28, (길동) 3층",미참여,
1769,전문 도서관,주택산업연구원도서관,"평일 : 09:00~18:00, 주말 :","토요일, 일요일, 법정공휴일",02-3215-7619,,영등포구,"서울특별시 영등포구 국제금융로8길 25, 주택건설회관 10층",미참여,
1780,전문 도서관,주한독일문화원도서관,"평일 : 09:00~22:00, 주말 : 09:00~18:00","법정공휴일, 기관방침에 따른 휴관",02-2021-2804,www.goethe.de/ins/kr/ko/kul/bib.html,용산구,서울특별시 용산구 소월로 132,미참여,
1779,전문 도서관,주한미국대사관아메리칸센터,"평일 : 09:00~18:00, 주말 : 휴관일","토요일, 일요일",02-397-4649,kr.usembassy.gov/ko/education-culture-ko/american-center-korea-ko/,용산구,서울특별시 용산구 한강대로72길 3,미참여,
2623,전문 도서관,주한영국문화원 도서실,,,02-3701-0602,,중구,서울특별시 중구 서소문로11길 19,미참여,
1810,전문 도서관,주한프랑스문화원미디어도서관,"평일 : 11:00~18:00(월, 수~금요일) 11:00~21:00(화요일), 주말 : 11:00~18:00(토요일)","일요일, 공휴일",02-317-8565,http://www.institutfrancais-seoul.com/ko/les-espaces-de-la-mediatheque-2/,중구,서울특별시 중구 칠패로 42 우리빌딩 18층,미참여,
2466,작은 도서관,중계사랑작은도서관,"평일 : 09:00~18:00, 주말 : 10:00~13:00","일요일, 법정공휴일",02-2116-2717,www.nowonlib.kr,노원구,서울특별시 노원구 덕릉로82길 50 중계4동주민센터,미참여,
2668,작은 도서관,중계종합사회복지관 CAN DO도서관,평일 : 09:00 ~ 18:00,"토요일, 일요일, 법정공휴일",02-952-0333,,노원구,서울특별시 노원구 덕릉로 662 중계종합사회복지관,미참여,2021-02-09
372,작은 도서관,중계주공10단지책과친구들,"평일 : 13:30~17:30, 주말 : 휴관일","토, 일, 법정공휴일",02-932-3970,,노원구,서울특별시 노워구 노원로22길 53 주공10단지아파트관리사무소,미참여,
285,작은 도서관,중곡1동새마을작은도서관,"월·수: 09:00~17:00, 화·목·금: 13:00~17:00","토,일,공휴일",02-461-9058,https://smalllib.gwangjin.go.kr/small/index.do,광진구,서울특별시 광진구 긴고랑로12길 49 중곡1동주민센터 2층,참여,
286,작은 도서관,중곡2동새마을작은도서관,월~금 09:00 ~ 17:00,"토,일,공휴일",02-458-7036,https://smalllib.gwangjin.go.kr/small/index.do,광진구,서울특별시 광진구 능동로 346 중곡2동주민센터 2층,참여,
287,작은 도서관,중곡3동새마을작은도서관,월~금 09:30 ~ 17:30,"토,일,공휴일",02-462-4916,https://smalllib.gwangjin.go.kr/small/index.do,광진구,서울특별시 광진구 동일로76가길 28 중곡3동주민센터 1층,참여,
288,작은 도서관,중곡4동새마을작은도서관,월~금 09:00 ~ 17:00,"토,일,공휴일",02-2201-8509,https://smalllib.gwangjin.go.kr/small/index.do,광진구,서울특별시 광진구 긴고랑로 131 중곡4동주민센터 1층,참여,
1283,작은 도서관,중곡교회작은도서관,평일 : 11:00~17:00,"토,일요일",02-452-4985,cafe.daum.net/JBook,광진구,서울특별시 광진구 긴고랑로 36길 56 중곡교회 지층 지층,미참여,2021-08-28
99,공공 도서관,중곡문화체육센터도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매월첫째/셋째월요일및법정공휴일,02-3408-4960,http://www.gwangjinlib.seoul.kr/,광진구,서울특별시 광진구 능동로 433 (중곡동),참여,2021-08-28
820,작은 도서관,중구청작은도서관,"평일 : 09:00~21:00, 주말 : 휴관일","토,일,법정공휴일",02-3396-4003,http://www.e-junggulib.or.kr/,중구,서울특별시 중구 창경궁로 17 중구청 별관4층 1층,미참여,2021-08-28
1809,전문 도서관,중국복음선교회애화도서관,"평일 : 10:00~12:00, 13:00~17:30 (화~금요일), 주말 : 10:00~13:00(토요일) 13:00~15:00(일요일)","월요일, 공휴일",02-2778-3626,http://www.cmikr.org/5_1.php,중구,서울특별시 중구 정동길 8 중국복음교회 애화도서관,미참여,
29,공공 도서관,중랑구립면목정보도서관,"평일 : 09:00~22:00(월요일은 09:00~17:00), 주말 : 09:00~17:00","매월 쳇째, 셋째 월요일, 법정공휴일 및 근로자의날(5월1일), 창립기념일(12월1일)",02-432-4123,http://www.jungnanglib.seoul.kr/mmlib/,중랑구,서울특별시 중랑구 면목로 397(면목동),참여,
28,공공 도서관,중랑구립정보도서관,"평일 : 09:00~22:00(월요일은 09:00~18:00), 주말 : 09:00~17:00","매월 둘째, 넷째 월요일, 법정공휴일 및 근로자의날(5월1일), 창립기념일(12월1일)",02-490-9112~4,http://www.jungnanglib.seoul.kr,중랑구,서울특별시 중랑구 신내로15길 197(묵동),참여,
2638,공공 도서관,중랑상봉도서관,"평일 : 09:00~20:00, 주말 : 09:00~17:00","매주 월요일, 법정공휴일 및 근로자의날(5월1일), 창립기념일(12월1일)",02-2209-0094,http://www.jungnanglib.seoul.kr/sblib/index.php,중랑구,서울특별시 중랑구 동일로114길 10(상봉동),참여,
1078,공공 도서관,중랑숲어린이도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00","매주 월요일, 법정공휴일 및 근로자의날(5월1일), 창립기념일(12월1일)",02-6235-1150,http://www.jungnanglib.seoul.kr/suplib/index.php,중랑구,서울특별시 중랑구 망우로73길 46-1(망우동),참여,
2698,작은 도서관,중랑재미 작은도서관,"평일 : 월~금 10:00~18:00, 주말 : 토 10:00~18:00",일요일,,,중랑구,서울특별시 중랑구 용마공원로 7-3 지하1층,미참여,2021-02-09
1725,전문 도서관,중소기업연구원자료실,"평일 : 09:00~18:00, 주말 : 휴관일","토요일, 일요일, 법정공휴일",02-707-9873,http://library.kosbi.re.kr,동작구,서울특별시 동작구 신대방1가길 77,미참여,
1724,전문 도서관,중앙대학교병원의학정보실,"평일 : 03:30~17:30, 주말 :","일요일, 월요일, 법정공휴일",02-6299-2796,,동작구,서울특별시 동작구 흑석로 102 중앙대학교병원 본관 B2,미참여,
257,작은 도서관,중앙동새싹작은도서관,"평일 : 10:00~20:00, 주말 : 휴관일","토,일요일",02-875-9513,http://lib.gwanak.go.kr/menu/subpage_01/sub03.php,관악구,서울특별시 관악구 양녕로6다길 7 중앙동주민센터 1층,미참여,
1507,작은 도서관,중앙하이츠도서관,"평일 : 15:00~22:00, 주말 : 10:00~20:00",일요일,02-854-6751,,구로구,서울특별시 구로구 구로동로47길 24 구로중앙하이츠아파트 복지관 2층,미참여,
1688,작은 도서관,중화어린이도서관,"평일 : 09:00~18:00, 주말 : 12:00~16:00",매주 일요일,02-2094-1846,http://www.jungnanglib.seoul.kr/jklib/index.php?g_page=guide&m_page=guide01,중랑구,서울특별시 중랑구 중랑역로3길 28 중화문화복지센터,참여,2021-01-14
1555,작은 도서관,즐거운가작은도서관,"평일 : 13:00~21:00, 주말 : 13:00~17:00",일요일,070-4192-1318,없음,송파구,서울특별시 송파구 새말로 149-1(문정동) 지층,미참여,
51,공공 도서관,즐거운도서관,"평일 : 06:00~22:00, 주말 : 06:00~22:00",매주 월요일 및 법정 공휴일,02-565-7533,http://library.gangnam.go.kr,강남구,서울특별시 강남구 도곡로77길 23,참여,2021-08-28
98,공공 도서관,증산정보도서관,"평일 : 09:00~22:00, 주말 : 09:00~18:00","매주 금요일, 법정공휴일",02-307-6030,http://www.jsplib.or.kr,은평구,서울특별시 은평구 증산로5길 6,참여,
1843,공공 도서관,지샘터올림픽공원도서관,"평일 : 09:00~19:00, 주말 : 09:00~18:00","매주 월요일, 법정공휴일",02-2180-3578,http://lib.kspo.or.kr,송파구,서울특별시 송파구 올림픽로 424(방이동) 스포츠비즈홀 1층,미참여,
1488,작은 도서관,지양마을작은도서관,"평일 : 10:00~18:00, 토요일 : 10:00~18:00","월, 일요일, 법정공휴일",02-2692-1704,http://lib.yangcheon.go.kr,양천구,서울특별시 양천구 지양로17길 33 지양로17길33,참여,
2124,작은 도서관,지웰작은도서관,평일 : 13:00~17:00 주말 : 13:00~17:00,"목요일, 일요일",02-353-0911,,은평구,서울특별시 은평구 은평구 진관4로 78-38(진관동) 1503동 지층,미참여,
2074,작은 도서관,지혜누리작은도서관,"평일 : 14:00~18:00, 주말 : 14:00~18:00","일, 법정공휴일",02-358-5935(관리소),,은평구,서울특별시 은평구 연서로44길 30 425동 2층,미참여,
2728,작은 도서관,지혜로운 작은도서관,월~금 10:00~16:00,"토, 일, 법정공휴일",,,구로구,서울특별시 구로구 연동로 233 지하1층 중흥클래스,미참여,2021-08-28
814,작은 도서관,지혜만들기작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토,일,법정공휴일",02-2148-5285,http://lib.jongno.go.kr,종로구,"서울특별시 종로구 종로35가길 19 종로5,6가동주민센터 3층",참여,
457,작은 도서관,지혜문고,평일 : 월~금 : 13:00~18:00,"토요일, 일요일",02-824-5377,http://lib.dongjak.go.kr/,동작구,서울특별시 동작구 장승배기로 19길 50 노량진2동어린이집,미참여,
1879,작은 도서관,지혜샘터작은도서관,"평일 : 화~금 : 10:00~18:00, 주말 : 토 : 10:00~18:00","월요일, 일요일",070-8245-6963,https://blog.naver.com/o_o-b,동작구,"서울특별시 동작구 상도로34길 34, (상도동) 1층",참여,
1591,작은 도서관,지혜어린이도서관,"평일 : 14:00~19:00, 주말 : 휴관일","매주 토요일,일요일",02-987-5100,,강북구,서울특별시 강북구 도봉로65길 35 3층,미참여,
1619,작은 도서관,지혜의등대작은도서관,"평일 : 09:00~18:00, 주말 : 토요일:09:00~17:00",일요일 및 법정 공휴일,070-4215-8936~7,http://www.unilib.dobong.kr/,도봉구,서울특별시 도봉구 도봉로 552 도봉구민회관 4층 도봉구민회관 4층,참여,
2673,작은 도서관,지혜의샘 작은도서관,"평일 : 09:00~18:00, 주말 : 10:00~17:00","일요일, 법정공휴일",02-973-0683,,노원구,"서울특별시 노원구 동일로 193가길 8, 봉화현 교회 1층",미참여,2021-02-09
343,작은 도서관,지혜의숲작은도서관,"평일 : 10:00~18:00, 주말 : 14:00~16:00",매주 일요일,070-7763-2811,,금천구,서울특별시 서초구 청계산로7길 43 서초포레스타5단지 503동 2층,미참여,
1641,작은 도서관,지혜의숲작은도서관,"평일 : 10:00~18:00, 주말 : 14:00~16:00",매주 일요일,070-7763-2811,,서초구,서울특별시 서초구 청계산로7길 43 서초포레스타5단지,미참여,
1361,작은 도서관,징검다리도서관,"평일 : 09:00~17:00, 주말 : 09:00~17:00",매주 월요일,02-359-6507,,은평구,서울특별시 은평구 서오릉로 132 징검다리도서관 징검다리도서관,미참여,
2561,작은 도서관,쪼물왕국 어린이도서관,,,6408-7205,,영등포구,서울특별시 영등포구 선유로53길 34-14,미참여,
1894,작은 도서관,참벗영어작은도서관,"평일 : 09:00~18:00, 주말 : 휴관일","토,일",02-414-8927,없음,송파구,서울특별시 송파구 백제고분로46길 20 3층,미참여,
2672,작은 도서관,참사랑평화학교 도서관,"평일 : 09:00~18:00, 주말 : 10:00~17:00","일요일, 법정공휴일",070-5050-1703,,노원구,"서울특별시 노원구 한글비석로 93, 참사랑평화학교 4층",미참여,2021-02-09
1508,작은 도서관,참새소풍작은도서관(천왕2단지),"평일 : 13:00~17:00, 주말 : 휴관일","토요일,일요일",02-2611-2013,www.smalllibrary.org,구로구,서울특별시 구로구 천왕로 92 천왕이펜하우스2단지 천왕이펜하우스 203동 1층,미참여,
1300,작은 도서관,참새작은도서관,"평일 : 10:00~20:00, 주말 : 09:00~17:00","일, 법정공휴일",02-895-8240,,금천구,서울특별시 금천구 한내로 69-15 (주공13단지아파트) 금천한내종합복지관 3층,참여,
1621,작은 도서관,참솔도서관,"평일 : 11:00~20:00, 주말 : 10:00~20:00","일요일,공휴일",02-932-4733,http://www.unilib.dobong.kr/,도봉구,서울특별시 도봉구 시루봉로 193 2층,미참여,
1556,작은 도서관,참좋은작은도서관,"평일 : 10:00~15:00, 주말 : 휴관일","토요일,일요일",02-409-1070,없음,송파구,서울특별시 송파구 송이로 26길 16-68 지층,미참여,
392,작은 도서관,창1동작은도서관,"평일 : 10:00~13:00, 14:00~17:00, 주말 : 휴관일",매주토요일및일요일 휴일,02-2091-5907,http://www.unilib.dobong.kr/,도봉구,"서울특별시 도봉구 해등로 46, 창1동주민센터 2층",참여,
393,작은 도서관,창2동작은도서관,"평일 : 10:00~13:00, 14:00~17:00, 주말 : 휴관일",매주토요일및일요일 휴일,02-2091-5908,http://www.unilib.dobong.kr/,도봉구,"서울특별시 도봉구 덕릉로 59길 73-3, 창2동주민센터 2층",참여,
394,작은 도서관,창3동작은도서관,"평일 : 10:00~13:00, 14:00~17:00, 주말 : 휴관일",매주토요일및일요일 휴일,02-2091-5909,http://www.unilib.dobong.kr/,도봉구,"서울특별시 도봉구 덕릉로62길 89, 창3동주민센터 3층",참여,
395,작은 도서관,창4동작은도서관,"평일 : 10:00~13:00, 14:00~17:00, 주말 : 휴관일",매주토요일및일요일 휴일,02-2091-5910,http://www.unilib.dobong.kr/,도봉구,"서울특별시 도봉구 노해로 390, 창4동주민센터 5층 관리사무소 지하1층",참여,
396,작은 도서관,창5동작은도서관,"평일 : 10:00~13:00, 14:00~17:00, 주말 : 휴관일",매주토요일및일요일 휴일,02-2091-5911,http://www.unilib.dobong.kr/,도봉구,"서울특별시 도봉구 도봉로 136나길 20, 창5동주민센터 3층",참여,
806,작은 도서관,창이작은도서관,"평일 : 10:00~19:00, 주말 : 휴관일","토,일,법정공휴일",02-2148-5439,http://lib.jongno.go.kr,종로구,서울특별시 종로구 창신길62 창신2동주민센터,참여,
138,작은 도서관,채우리작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",02-481-6152,http://www.gdlibrary.or.kr/small/,강동구,"서울특별시 강동구 고덕로24길 49, 1층(암사동) 암사1동자치회관 1층",참여,
198,작은 도서관,채움작은도서관,"평일 : 09:00~18:00, 주말 : 휴관일","토요일, 일요일, 공휴일",02-2600-5225,http://lib.gangseo.seoul.kr/,강서구,서울특별시 강서구 개화동로23길20 방화2동주민센터 2층,미참여,2021-08-28
2444,작은 도서관,책 N 꿈 도서관,"평일 : 10:00~18:00, 주말 : 10:00~18:00",월요일,,해당없음,관악구,서울특별시 관악구 남부순환로1989,미참여,
1661,작은 도서관,책과의어울림금호작은도서관,"평일 : 10:00~17:00, 주말 : 휴관일","매주 토요일,일요일",02-407-3589,없음,송파구,서울특별시 송파구 송파대로 32길 15 금호아파트 106동 1층(가락동),미참여,
1900,작은 도서관,책깨비도서관,"평일 : 10:00~18:00, (동절기)10:00~17:00, 주말 : 10:00~18:00, (동절기)10:00~17:00","법정공휴일, 혹한기(12~2월)",070-4112-1843,http://smlib.jungnanglib.seoul.kr/small/main.do,중랑구,서울특별시 중랑구 용마산로 250-12 용마폭포공원,미참여,2021-01-14
135,작은 도서관,책꾸러미작은도서관,"평일 : 13:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",02-442-3982,http://www.gdlibrary.or.kr/small/,강동구,"서울특별시 강동구 상암로 260, 2층(명일동) 명일2동주민센터 2층",참여,
2741,작은 도서관,책나무마을도서관,"평일 : 10:00~17:00, 주말 : 휴관일","토,일,법정공휴일",02-2671-7009,,영등포구,서울특별시 영등포구 당산로16길17-1,미참여,2021-08-28
358,작은 도서관,책누리작은도서관,"평일 : 09:00~18:00, 주말 : 10:00~13:00","일요일, 법정공휴일",02-2116-2621,www.nowonlib.kr,노원구,서울특별시 노원구 중계로 143 중계본동주민센터,미참여,
2464,작은 도서관,책달샘숲속작은도서관,"평일 : 09:00~18:00, 주말 : 09:00~18:00","일,월 법정공휴일",02-2104-5733,,금천구,서울특별시 금천구 독산동 373 감로천생태공원 내,미참여,
1468,작은 도서관,책뜰에도서관,"평일 : 11:00~18:00, 주말 : 휴관일","토,일요일",02-355-6893,http://cafe.naver.com/epbookgarden,은평구,서울특별시 은평구 북한산로 2 은평뉴타운구파발 1023동 1층 1023동 1층,미참여,
2709,작은 도서관,책마당SH작은도서관,"평일 : 10:00~12:00,14:00~18:00 일 14:00~1800",토요일,02-2668-9000,,강서구,서울특별시 강서구 허준로 176(가양8단지),미참여,2021-02-09
188,작은 도서관,책마루작은도서관,"평일 : 09:30~17:30, 주말 : (토) 09:00~13:00","일요일, 공휴일",02-2600-7577,http://lib.gangseo.seoul.kr/,강서구,서울특별시 강서구 강서로33가길 17 화곡3동주민센터 2층,미참여,2022-06-09
2467,작은 도서관,책사랑작은도서관,"평일 : 09:00~18:00, 주말 : 10:00~13:00","일요일, 법정공휴일",02-2116-2643,www.nowonlib.kr,노원구,서울특별시 노원구 한글비석로 279 중계1동주민센터,미참여,
2639,작은 도서관,책소리 작은도서관,"평일 : 화~금 13:00~18:00, 주말 : 11:00~14:00","월,공휴일",02-432-4752,,중랑구,서울특별시 중랑구 겸재로 138 2층,미참여,2021-08-28
230,작은 도서관,책쉼터,"평일 : 09:00~18:00, 주말 : 휴관일","토,일요일",02-879-5712,http://lib.gwanak.go.kr/,관악구,서울특별시 관악구 낙성대로3길 37 관악구민종합체육센터 2층 223-9 2층,미참여,
1515,작은 도서관,책이든거리작은도서관,"평일 : 11:00~20:00, 주말 : 휴관일","주말, 법정공휴일",02-853-3327,,금천구,서울특별시 금천구 범안로 1130 독산역2번출구앞,참여,
229,작은 도서관,책이랑놀이랑도서관,"평일 : 09:00~18:00, 주말 : 09:00~17:00",매주 화요일,02-878-0955,http://www.gwanakcullib.seoul.kr/ecolas-dl/new_kwan/bp_lib/index.php,관악구,서울특별시 관악구 행운1길 12 신창문화복지센터 2층 1675-12 신창문화복지센터 2층,미참여,
355,작은 도서관,책이랑친구랑작은도서관,"평일 : 09:00~18:00, 주말 : 10:00~13:00","일요일, 법정공휴일",02-2116-2537,www.nowonlib.kr,노원구,서울특별시 노원구 노원로1길 68 공릉2동주민센터,미참여,
615,작은 도서관,책읽는나무의자,"평일 : 13:00~18:00, 주말 : 11:00~15:00",매주 일요일,02-471-2310,없음,송파구,서울특별시 송파구 토성로19길 7 지하,미참여,
348,작은 도서관,책읽는마을작은도서관,"평일 : 11:00~19:00, 주말 : 휴관일","주말, 법정공휴일",02-858-9919,,금천구,서울특별시 금천구 독산로74길 31 1층,미참여,
679,작은 도서관,책읽는쉼터,"평일 : 13:00~16:00, 주말 : 휴관일","화,수,금,토,일요일",02-2655-0427,,양천구,서울특별시 양천구 목동동로 10 목동신시가지아파트11단지 관리사무소,미참여,
341,작은 도서관,책읽는주민사랑방작은도서관,"평일 : 9:00~18:00, 주말 : 토:10:00~16:00","일, 법정공휴일",02-2104-5729,,금천구,"서울특별시 금천구 금하로21길 20, 시흥5동주민센터 2층",참여,
1614,작은 도서관,책향기작은도서관,"평일 : , 주말 :",,070-7091-6719,,구로구,서울특별시 구로구 고척로 18길 92 오류동 감리교회 별관,미참여,
195,작은 도서관,책향기작은도서관,"평일 : 09:30~17:30, 주말 : 휴관","토요일, 일요일, 공휴일",02-2600-7895,www.smalllibrary.org,강서구,서울특별시 강서구 강서로47길 54 발산1동주민센터 2층,미참여,2022-06-09
1854,작은 도서관,천사작은도서관,"평일 : 14:00~18:00, 주말 : 휴관일","토요일, 일요일, 공휴일",070-5138-5860,,강서구,서울특별시 강서구 마곡서로 133 705동 3층,미참여,
502,작은 도서관,천연동하늘샘작은도서관,"평일 : 09:00~18:00, 주말 : 휴관일","토, 일요일",02-3140-8334,lib.sdm.or.kr,서대문구,서울특별시 서대문구 독립문로 27 서대문구보건소천연분소,참여,
511,작은 도서관,천연뜨란채문고,"평일 : 09:00~18:00, 주말 : 09:00~13:00",매주 일요일,02-365-2800,,서대문구,"서울특별시 서대문구 독립문로8길 54, 107동 관리동",미참여,
2034,작은 도서관,천왕7단지작은도서관,"평일 : 화~목:10:00~22:00, 주말 : 14:00~21:00",월요일,,www.smalllibrary.org,구로구,"서울특별시 구로구 천왕로21, 701동 1층 701동 1층",미참여,
2459,작은 도서관,천왕마을작은도서관,"평일 : 13:00~18:00, 주말 : 13:00~18:00","일, 법정공휴일",02-2687-8183,,구로구,서울특별시 구로구 천왕로36 센타프라자 306호,미참여,
1683,작은 도서관,천주교연신내성당북카페,"평일 : 09:00~18:00, 주말 : 09:00~18:00","월요일, 법정공휴일",02-353-6307,http://cafe.daum.net/ysnsd,은평구,서울특별시 은평구 연서로43길 6 6,미참여,
1298,작은 도서관,청개구리작은도서관,"평일 : 10:00~20:00, 주말 : 10:00~17:00","일, 법정공휴일",02-857-4183,http://cafe.daum.net/greenfroglib,금천구,"서울특별시 금천구 독산로 317, 독산3동주민센터 3층",참여,
2503,공공 도서관,청계도서관,"평일 : 09:00~20:00, 주말 : 09:00~20:00",매주 월요일 및 법정 공휴일,02-2204-7580,www.sdlib.or.kr/CG,성동구,서울특별시 성동구 마장로 141,미참여,
